domain,idx,mae_abs,max_abs,orig_max,orig_min,path,rec_max,rec_min
LR,0,0.0,0,1105,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_001.dcm,1105,-1024
LR,1,0.0,0,1131,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_002.dcm,1131,-1024
LR,2,0.0,0,1131,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_003.dcm,1131,-1024
LR,3,0.0,0,1152,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_004.dcm,1152,-1024
LR,4,0.0,0,1153,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_005.dcm,1153,-1024
LR,5,0.0,0,1119,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_006.dcm,1119,-1024
LR,6,0.0,0,1109,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_007.dcm,1109,-1024
LR,7,0.0,0,1036,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_008.dcm,1036,-1024
LR,8,0.0,0,1618,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_009.dcm,1618,-1024
LR,9,0.0,0,2331,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_010.dcm,2331,-1024
LR,10,0.0,0,2877,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_011.dcm,2877,-1024
LR,11,0.0,0,3055,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_012.dcm,3055,-1024
LR,12,0.0,0,3060,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_013.dcm,3060,-1024
LR,13,0.0,0,3061,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_014.dcm,3061,-1024
LR,14,0.0,0,3068,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_015.dcm,3068,-1024
LR,15,0.0,0,3003,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_016.dcm,3003,-1024
LR,16,0.0,0,2721,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_017.dcm,2721,-1024
LR,17,0.0,0,2520,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_018.dcm,2520,-1024
LR,18,0.0,0,2337,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_019.dcm,2337,-1024
LR,19,0.0,0,2007,-1024,/workspace/DataSet/ImageCAS/001.ImgCast/IM_020.dcm,2007,-1024
HR,0,2.065913200378418,3930,7001,-1455,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005138.dcm,3071,-1024
HR,1,1.9800910949707031,3943,7014,-1432,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005139.dcm,3071,-1024
HR,2,1.9142723083496094,3936,7007,-1386,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005140.dcm,3071,-1024
HR,3,1.8466796875,3943,7014,-1343,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005141.dcm,3071,-1024
HR,4,1.7495641708374023,3969,7040,-1316,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005142.dcm,3071,-1024
HR,5,1.6469268798828125,4004,7075,-1323,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005143.dcm,3071,-1024
HR,6,1.5717649459838867,3981,7052,-1360,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005144.dcm,3071,-1024
HR,7,1.5224123001098633,3871,6942,-1454,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005145.dcm,3071,-1024
HR,8,1.487710952758789,3730,6801,-1525,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005146.dcm,3071,-1024
HR,9,1.4860687255859375,3854,6925,-1532,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005147.dcm,3071,-1024
HR,10,1.4882888793945312,3974,7045,-1466,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005148.dcm,3071,-1024
HR,11,1.478170394897461,4001,7072,-1494,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005149.dcm,3071,-1024
HR,12,1.4667434692382812,4002,7073,-1440,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005150.dcm,3071,-1024
HR,13,1.463669776916504,3917,6988,-1415,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005151.dcm,3071,-1024
HR,14,1.4532241821289062,3775,6846,-1433,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005152.dcm,3071,-1024
HR,15,1.4493227005004883,3621,6692,-1423,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005153.dcm,3071,-1024
HR,16,1.4232254028320312,3493,6564,-1434,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005154.dcm,3071,-1024
HR,17,1.4097356796264648,3635,6706,-1574,/workspace/DataSet/photonCT/PhotonCT1024v2/DICOMSAVE-20240514142921-000/1.3.12.2.1107.5.1.7.127120.30000024050215051616400005155.dcm,3071,-1024
